2022-07-02 00:02:39.566 +0500: INFO - 05-xkms01-1300004 - Stopping bundle bsf.adapter.soap.xkms - done (main, com.corisecio.bsf.adapter.core.main.Activator)
2022-07-02 00:02:39.566 +0500: INFO - 01-wsse01-1300003 - Stopping bundle bsf.adapter.ws.wss (main, com.corisecio.bsf.adapter.core.main.Activator)
2022-07-02 00:02:39.566 +0500: INFO - 01-wsse01-1300004 - Stopping bundle bsf.adapter.ws.wss - done (main, com.corisecio.bsf.adapter.core.main.Activator)
2022-07-02 00:02:39.582 +0500: INFO - 05-xml101-1300003 - Stopping bundle com.corisecio.bsf.sin.connector.utils.xml (main, com.corisecio.bsf.adapter.core.main.Activator)
2022-07-02 00:02:39.582 +0500: INFO - 05-xml101-1300004 - Stopping bundle com.corisecio.bsf.sin.connector.utils.xml - done (main, com.corisecio.bsf.adapter.core.main.Activator)
2022-07-02 00:02:39.613 +0500: INFO - 01-reco01-1300003 - Stopping bundle bsf.adapter.soap.httprecorder (main, com.corisecio.bsf.adapter.core.main.Activator)
2022-07-02 00:02:39.613 +0500: INFO - 01-reco01-1300004 - Stopping bundle bsf.adapter.soap.httprecorder - done (main, com.corisecio.bsf.adapter.core.main.Activator)
2022-07-02 00:02:39.613 +0500: INFO - 01-htbr01-1300003 - Stopping bundle bsf.adapter.soap.httpbridge (main, com.corisecio.bsf.adapter.core.main.Activator)
2022-07-02 00:02:39.613 +0500: INFO - 01-htbr01-1300004 - Stopping bundle bsf.adapter.soap.httpbridge - done (main, com.corisecio.bsf.adapter.core.main.Activator)
2022-07-02 00:02:39.613 +0500: INFO - 05-sam201-1300003 - Stopping bundle bsf.adapter.saml.sb (main, com.corisecio.bsf.adapter.core.main.Activator)
2022-07-02 00:02:39.613 +0500: INFO - 05-sam201-1300004 - Stopping bundle bsf.adapter.saml.sb - done (main, com.corisecio.bsf.adapter.core.main.Activator)
2022-07-02 00:02:39.629 +0500: INFO - 01-unkn00-1999992 - Info: Stopping com.corisecio.bsf.adapter.http.tomcat (main, com.corisecio.bsf.adapter.http.tomcat.Activator)
2022-07-02 00:02:39.629 +0500: INFO - 01-unkn00-1999992 - Info: Stopping com.corisecio.bsf.adapter.http.tomcat - done (main, com.corisecio.bsf.adapter.http.tomcat.Activator)
2022-07-02 00:02:39.645 +0500: INFO - 01-prox01-1300003 - Stopping bundle bsf.adapter.http.proxy (main, com.corisecio.bsf.adapter.core.main.Activator)
2022-07-02 00:02:39.645 +0500: INFO - 01-prox01-1300004 - Stopping bundle bsf.adapter.http.proxy - done (main, com.corisecio.bsf.adapter.core.main.Activator)
2022-07-02 00:02:39.645 +0500: INFO - 01-unkn00-1999992 - Info: Stopping bsf.adapter.core.workflowConfiguration (main, com.corisecio.bsf.adapter.core.workflowConfiguration.Activator)
